YM,state,user_cnt,rnk
2017-08,RO,14,21
2017-08,AM,5,22
2017-08,AC,4,23
2017-08,AP,3,24
2017-09,SP,1605,1
2017-09,RJ,604,2
2017-09,MG,499,3
2017-09,RS,277,4
2017-09,PR,179,5
2017-09,BA,170,6
2017-09,SC,154,7
2017-09,DF,96,8
2017-09,ES,93,9
2017-09,GO,87,10
2017-09,CE,77,11
2017-09,PE,76,12
2017-09,MA,42,13
2017-09,PA,41,14
2017-09,MT,35,15
2017-09,MS,32,16
2017-09,PB,28,17
2017-09,RN,24,18
2017-09,PI,23,19
2017-09,AL,20,20
2017-09,RO,16,21
2017-09,SE,16,21
2017-09,TO,16,21
2017-09,AM,9,22
2017-09,AC,5,23
2017-09,AP,2,24
2017-09,RR,1,25
2017-10,SP,1754,1
2017-10,RJ,660,2
2017-10,MG,549,3
2017-10,RS,247,4
2017-10,PR,202,5
2017-10,SC,174,6
2017-10,BA,164,7
2017-10,GO,106,8
2017-10,ES,100,9
2017-10,DF,96,10
2017-10,PE,80,11
2017-10,CE,64,12
2017-10,PA,53,13
2017-10,MT,50,14
2017-10,MA,48,15
2017-10,MS,33,16
2017-10,PB,29,17
2017-10,AL,28,18
2017-10,PI,23,19
2017-10,RN,23,19
2017-10,SE,22,20
2017-10,RO,14,21
2017-10,TO,13,22
2017-10,AC,6,23
2017-10,AM,3,24
2017-10,AP,3,24
2017-10,RR,3,24
2017-11,SP,2949,1
2017-11,RJ,1036,2
2017-11,MG,930,3
2017-11,RS,417,4
2017-11,PR,372,5
2017-11,SC,298,6
2017-11,BA,245,7
2017-11,ES,170,8
2017-11,DF,161,9
2017-11,GO,156,10
2017-11,PE,126,11
2017-11,CE,108,12
2017-11,MT,74,13
2017-11,PA,70,14
2017-11,MA,55,15
2017-11,MS,46,16
2017-11,RN,43,17
2017-11,PI,31,18
2017-11,PB,29,19
2017-11,AL,26,20
2017-11,SE,26,20
2017-11,RO,17,21
2017-11,TO,17,21
2017-11,AM,10,22
2017-11,AC,5,23
2017-11,AP,4,24
2017-11,RR,2,25
2017-12,SP,2334,1
2017-12,RJ,776,2
2017-12,MG,681,3
2017-12,RS,281,4
2017-12,PR,264,5
2017-12,BA,192,6
2017-12,SC,192,6
2017-12,DF,131,7
2017-12,GO,127,8
2017-12,ES,111,9
2017-12,PE,103,10
2017-12,CE,81,11
2017-12,PA,58,12
2017-12,MT,50,13
2017-12,MA,41,14
2017-12,PB,37,15
2017-12,MS,36,16
2017-12,RN,30,17
2017-12,PI,23,18
2017-12,SE,20,19
2017-12,TO,14,20
2017-12,AL,12,21
2017-12,RO,11,22
2017-12,AM,6,23
2017-12,AC,5,24
2017-12,AP,4,25
2018-01,SP,3016,1
2018-01,RJ,878,2
2018-01,MG,855,3
2018-01,PR,374,4
2018-01,RS,373,5
2018-01,SC,312,6
2018-01,BA,232,7
2018-01,ES,145,8
2018-01,GO,145,8
2018-01,DF,138,9
2018-01,PE,104,10
2018-01,CE,89,11
2018-01,MT,84,12
2018-01,MS,70,13
2018-01,PA,69,14
2018-01,MA,56,15
2018-01,PI,47,16
2018-01,RN,45,17
2018-01,AL,37,18
2018-01,PB,31,19
2018-01,RO,20,20
2018-01,SE,20,20
2018-01,TO,17,21
2018-01,AM,12,22
2018-01,AP,11,23
2018-01,AC,6,24
2018-01,RR,1,25
2018-02,SP,2649,1
2018-02,RJ,904,2
2018-02,MG,795,3
2018-02,RS,365,4
2018-02,PR,337,5
2018-02,SC,255,6
2018-02,BA,211,7
2018-02,DF,172,8
2018-02,ES,149,9
2018-02,GO,149,9
2018-02,PE,124,10
2018-02,CE,87,11
2018-02,MT,67,12
2018-02,MS,64,13
2018-02,PA,58,14
2018-02,MA,55,15
2018-02,PB,35,16
2018-02,PI,33,17
2018-02,AL,27,18
2018-02,RN,23,19
2018-02,TO,20,20
2018-02,SE,15,21
2018-02,RO,13,22
2018-02,AM,8,23
2018-02,RR,5,24
2018-02,AC,3,25
2018-02,AP,2,26
2018-03,SP,3007,1
2018-03,RJ,906,2
2018-03,MG,875,3
2018-03,RS,416,4
2018-03,PR,375,5
2018-03,SC,251,6
2018-03,BA,248,7
2018-03,DF,150,8
2018-03,GO,146,9
2018-03,ES,134,10
2018-03,PE,108,11
2018-03,CE,98,12
2018-03,PA,73,13
2018-03,MS,58,14
2018-03,MT,55,15
2018-03,MA,53,16
2018-03,PB,39,17
2018-03,RN,39,17
2018-03,PI,34,18
2018-03,AL,30,19
2018-03,TO,20,20
2018-03,SE,18,21
2018-03,RO,13,22
2018-03,AM,9,23
2018-03,RR,6,24
2018-03,AP,5,25
2018-03,AC,2,26
2018-04,SP,3043,1
2018-04,RJ,834,2
2018-04,MG,786,3
2018-04,PR,385,4
2018-04,RS,349,5
2018-04,SC,246,6
2018-04,BA,225,7
2018-04,DF,147,8
2018-04,ES,142,9
2018-04,GO,134,10
2018-04,PE,114,11
2018-04,CE,100,12
2018-04,PA,71,13
2018-04,MT,65,14
2018-04,MA,46,15
2018-04,MS,43,16
2018-04,PI,37,17
2018-04,RN,32,18
2018-04,PB,31,19
2018-04,AL,28,20
2018-04,TO,19,21
2018-04,SE,14,22
2018-04,RO,11,23
2018-04,AM,6,24
2018-04,AP,5,25
2018-04,AC,4,26
2018-04,RR,2,27
2018-05,SP,3182,1
2018-05,RJ,829,2
2018-05,MG,757,3
2018-05,RS,351,4
2018-05,PR,311,5
2018-05,BA,240,6
2018-05,SC,226,7
2018-05,DF,144,8
2018-05,GO,138,9
2018-05,ES,134,10
2018-05,PE,106,11
2018-05,CE,73,12
2018-05,MT,66,13
2018-05,MS,44,14
