city,longitude,latitude,rating,rating_rnk
Aurangabad,60.27382031449999,15.901220759499997,3.374999999999999,126
Potrero,-116.704731,32.613431,3.3,127
Yorkton,-102.4613173,51.2106824,3.3,128
Balingup,115.9844924,-33.7845269,3.2,129
"Winchester Bay",-124.175346,43.678998,3.2,130
Cochrane,-114.472474,51.183934,3.1,131
Consort,-110.7746994,52.0082889,3,132
Mayfield,151.7343832,-32.899178,2.9,133
Ghaziabad,77.36246978439999,28.6374747812,2.852,134
Gurgaon,73.76257232096603,27.24471790780855,2.6514311270125215,135
Paynesville,147.7227832,-37.9194154,2.6,136
"New Delhi",73.90379162546503,27.398205435768304,2.4388452402704237,137
"Mc Millan",-85.7363,46.3718,2.4,138
Montville,152.893735,-26.690462,2.4,139
Noida,70.62713066021287,26.10691049129634,2.0362037037037037,140
Faridabad,70.53537124298809,25.94111939768923,1.866932270916335,141
