"restaurant name",city,"average cost for two",cost_rnk
"Cafe El Chico",Allahabad,1000,1182
"Surjit Food Plaza",Amritsar,1000,1183
"d' Curry House",Aurangabad,1000,1184
"10 Downing Street",Bhopal,1000,1185
"Chi Kitchen",Bhopal,1000,1186
"Midnight Chef",Chandigarh,1000,1187
Maplai,Chennai,1000,1188
"Cream Centre",Coimbatore,1000,1189
"Town Table Restaurant",Dehradun,1000,1190
"Mirage Restro Bar",Faridabad,1000,1191
"Cakes 'n Bakes - Park Plaza",Faridabad,1000,1192
"Cafe Parmesan",Faridabad,1000,1193
"Le Chef Restro Bar",Faridabad,1000,1194
"Pind Balluchi",Ghaziabad,1000,1195
"Fat Fish",Goa,1000,1196
"60 ML - Country Inn & Suites by Carlson",Gurgaon,1000,1197
Tughlaq,Gurgaon,1000,1198
Fatburger,Gurgaon,1000,1199
"Captain Grub",Gurgaon,1000,1200
"Plan B",Gurgaon,1000,1201
"Volt - By Plan B",Gurgaon,1000,1202
"Kashmiri Kitchen",Gurgaon,1000,1203
"Baking Bad",Gurgaon,1000,1204
"Soul & Spice Co.",Gurgaon,1000,1205
"The Mad Teapot/The Wishing Chair",Gurgaon,1000,1206
"Moti Mahal Delux",Gurgaon,1000,1207
"Fortune Deli - Fortune Select Excalibur",Gurgaon,1000,1208
Karim's,Gurgaon,1000,1209
"Captain Bill$ Deliverz",Gurgaon,1000,1210
Outback,Gurgaon,1000,1211
Dudleys,Gurgaon,1000,1212
"La Pino'z Pizza",Gurgaon,1000,1213
"Armory - Hotel Haut.Monde",Gurgaon,1000,1214
"Spice It - Hotel IBIS",Gurgaon,1000,1215
Daikichi,Gurgaon,1000,1216
"Lucknow - Kingdom of Dreams",Gurgaon,1000,1217
"Khaaja Chowk",Gurgaon,1000,1218
Kaza,Gurgaon,1000,1219
"Zync - Rosewood Hotel",Gurgaon,1000,1220
"Captain Bill$ Deliverz",Gurgaon,1000,1221
Empress,Gurgaon,1000,1222
"Captain Bill$ Deliverz",Gurgaon,1000,1223
"Moti Mahal Delux",Gurgaon,1000,1224
"Lovecrumbs Bakery",Gurgaon,1000,1225
"Pizza Hut",Gurgaon,1000,1226
"Pind Balluchi",Gurgaon,1000,1227
"Shanghai Salsa",Guwahati,1000,1228
"Mama Loca",Indore,1000,1229
WTF,Jaipur,1000,1230
"Taruveda Bistro",Jaipur,1000,1231
"Sky Beach",Jaipur,1000,1232
Liquid,Kanpur,1000,1233
"Little Chef",Kanpur,1000,1234
Tadka,Kanpur,1000,1235
"Nawras Seafood Restaurant",Kochi,1000,1236
"Grand Hotel Restaurant",Kochi,1000,1237
"Mustake Multicuisine Restaurant",Kochi,1000,1238
"Cocoa Tree",Kochi,1000,1239
Nawwarah,Kolkata,1000,1240
"6 Ballygunge Place",Kolkata,1000,1241
"Peter Cat",Kolkata,1000,1242
"What's Up",Kolkata,1000,1243
Percussion,Lucknow,1000,1244
"The Pebbles Bistro",Lucknow,1000,1245
"Vintage Machine",Lucknow,1000,1246
"Bar Bar",Lucknow,1000,1247
"Colours by Royal Cafe - Royal Inn",Lucknow,1000,1248
"Spice Cube",Ludhiana,1000,1249
"Kobe Sizzlers",Mangalore,1000,1250
"Village Restaurant",Mangalore,1000,1251
"Punjab Da Pind",Mangalore,1000,1252
"Cafe Hydro",Mumbai,1000,1253
"The Fusion Kitchen",Mumbai,1000,1254
"Tea Villa Cafe",Mumbai,1000,1255
"Mumbai Vibe",Mumbai,1000,1256
"Tea Villa Cafe",Mumbai,1000,1257
"38 Degree East",Mumbai,1000,1258
"Tea Villa Cafe",Mumbai,1000,1259
"Tea Villa Cafe",Mumbai,1000,1260
"Jungle The Restaurant",Mysore,1000,1261
"Oyster Bay",Mysore,1000,1262
"Ten Downing Street Restaurant & Bar",Nagpur,1000,1263
"Moksh The Restro Lounge",Nagpur,1000,1264
"Mainland China",Nagpur,1000,1265
"Spice Route",Nashik,1000,1266
"Soma at Sula",Nashik,1000,1267
Sultanat,"New Delhi",1000,1268
"4 on 44 Restaurant & Bar","New Delhi",1000,1269
"Pizza Hut","New Delhi",1000,1270
"The Sweeet Jar","New Delhi",1000,1271
"Nile Restro & Bar","New Delhi",1000,1272
"Pizza Hut","New Delhi",1000,1273
"Pizza Hut","New Delhi",1000,1274
"Krips Restaurant","New Delhi",1000,1275
"By The Way - Bellagio","New Delhi",1000,1276
"Horn Please","New Delhi",1000,1277
"Tasty Tonight","New Delhi",1000,1278
"My Bar Lounge & Restaurant","New Delhi",1000,1279
"My Bar Square","New Delhi",1000,1280
"My Bar Headquarters","New Delhi",1000,1281
"Pind Balluchi","New Delhi",1000,1282
"Pizza Hut","New Delhi",1000,1283
"Biryani Blues","New Delhi",1000,1284
"Johnny Rockets","New Delhi",1000,1285
"Gyms Kook","New Delhi",1000,1286
"Deli - Crowne Plaza","New Delhi",1000,1287
"Fiery Grills","New Delhi",1000,1288
"Cafe Desire","New Delhi",1000,1289
"Cafe Brown Sugar","New Delhi",1000,1290
"Moti Mahal Delux","New Delhi",1000,1291
"Cafe Yell","New Delhi",1000,1292
"Pizza Hut","New Delhi",1000,1293
"Moh Maya Cafe","New Delhi",1000,1294
Barichi,"New Delhi",1000,1295
"The Baithak's","New Delhi",1000,1296
Karim's,"New Delhi",1000,1297
"Room Service","New Delhi",1000,1298
"Owl is Well","New Delhi",1000,1299
"Baking Bad","New Delhi",1000,1300
"Cafe Culture","New Delhi",1000,1301
"Cafe Turtle","New Delhi",1000,1302
"Captain Grub","New Delhi",1000,1303
Druk,"New Delhi",1000,1304
"Noshi - Yum Asian Delivery","New Delhi",1000,1305
"Brown Sugar","New Delhi",1000,1306
"Chocolateria San Churro","New Delhi",1000,1307
Culinaire,"New Delhi",1000,1308
"Sumo Sushi","New Delhi",1000,1309
"Pizza Hut","New Delhi",1000,1310
"Twenty Ten - Ashtan Sarovar Portico","New Delhi",1000,1311
"Ministry of Cafe","New Delhi",1000,1312
"Oh Boy Lounge","New Delhi",1000,1313
"Mama's Buoi","New Delhi",1000,1314
"Captain Grub","New Delhi",1000,1315
"Grub Pub","New Delhi",1000,1316
Root'd,"New Delhi",1000,1317
"Shi Cafe","New Delhi",1000,1318
"Little Saigon","New Delhi",1000,1319
"Viva Deli - Holiday Inn","New Delhi",1000,1320
"Curry Capital - Hotel Classic Diplomat","New Delhi",1000,1321
"Sidewalk - Hyatt Regency","New Delhi",1000,1322
"Nutmeg The Gourmet Shop - ITC Maurya","New Delhi",1000,1323
"Moti Mahal Delux","New Delhi",1000,1324
"Pizza Hut","New Delhi",1000,1325
"Pind Balluchi","New Delhi",1000,1326
"Deli Belly","New Delhi",1000,1327
Riviera,"New Delhi",1000,1328
"Mumu Dahlin","New Delhi",1000,1329
Rumours,"New Delhi",1000,1330
"Cafe Shloka","New Delhi",1000,1331
"Jade Garden","New Delhi",1000,1332
"Captain Grub","New Delhi",1000,1333
"Cafe Turtle","New Delhi",1000,1334
"China Fare","New Delhi",1000,1335
"Clay 1 Grill","New Delhi",1000,1336
"Biryani Blues","New Delhi",1000,1337
"Tongue Thai'd","New Delhi",1000,1338
"K2 Multi Cuisine Restaurant","New Delhi",1000,1339
"Slounge - Lemon Tree Premier","New Delhi",1000,1340
"Capital Curry","New Delhi",1000,1341
"Moti Mahal Delux","New Delhi",1000,1342
Icon,"New Delhi",1000,1343
"CJ's Fresh","New Delhi",1000,1344
"Eywa by Saby @ Celeste","New Delhi",1000,1345
"The All American Diner","New Delhi",1000,1346
Karim's,"New Delhi",1000,1347
"Barichi Restaurant","New Delhi",1000,1348
Tripti,"New Delhi",1000,1349
"Coffee Shop","New Delhi",1000,1350
"Taste of India","New Delhi",1000,1351
"Biryani Blues","New Delhi",1000,1352
"The Delhi Canteen","New Delhi",1000,1353
"Sushi Junction","New Delhi",1000,1354
"Urban Degchi Kitchen & Bar","New Delhi",1000,1355
"Moti Mahal Delux Tandoori Trail","New Delhi",1000,1356
"Pizza Hut","New Delhi",1000,1357
"Manami Japanese Restaurant","New Delhi",1000,1358
"Curzon - The Royal Bar","New Delhi",1000,1359
"Viceroy - The Coffee Shop","New Delhi",1000,1360
"Basil Tree","New Delhi",1000,1361
"Hunter's Kitchen","New Delhi",1000,1362
"The First Floor","New Delhi",1000,1363
"Pind Balluchi","New Delhi",1000,1364
"Pind Balluchi","New Delhi",1000,1365
"Pizza Hut","New Delhi",1000,1366
"Calendar Khana Laao","New Delhi",1000,1367
"Cafe Turtle","New Delhi",1000,1368
"Hang Out","New Delhi",1000,1369
"Le Fairway Restaurant & Bar","New Delhi",1000,1370
"My Love Restaurant & Bar","New Delhi",1000,1371
"Metro Bar & Family Restaurant","New Delhi",1000,1372
Culinaria,"New Delhi",1000,1373
"The Blessing Bliss","New Delhi",1000,1374
"Hawalat Lounge & Bar","New Delhi",1000,1375
"R The Lounge - Radisson Blu Plaza Delhi","New Delhi",1000,1376
"The Pastry Shop - Radisson Blu Plaza Delhi","New Delhi",1000,1377
"Moti Mahal Delux - Kebab Trail","New Delhi",1000,1378
"Calendar's Kitchen by Satish Kaushik","New Delhi",1000,1379
Showstopper,"New Delhi",1000,1380
"Tippling Street","New Delhi",1000,1381
"New Eleven to Eleven","New Delhi",1000,1382
"Puratan - Family Restaurant & Bar","New Delhi",1000,1383
"Spice Court","New Delhi",1000,1384
"Roasted - Roseate","New Delhi",1000,1385
RDX,"New Delhi",1000,1386
"Sumo Sushi","New Delhi",1000,1387
"The Blue Tandoor","New Delhi",1000,1388
"Pizza Hut","New Delhi",1000,1389
"Rose Cafe","New Delhi",1000,1390
"Uptown Cafe","New Delhi",1000,1391
"Typsy Crow","New Delhi",1000,1392
"Mumbai Matinee","New Delhi",1000,1393
"Asia Central","New Delhi",1000,1394
Puppychino,"New Delhi",1000,1395
"Remember Me Caf刺","New Delhi",1000,1396
"The Mad Teapot/The Wishing Chair","New Delhi",1000,1397
TukTuk,"New Delhi",1000,1398
"ATM Bistro","New Delhi",1000,1399
Baadshah,"New Delhi",1000,1400
"Pizza Hut","New Delhi",1000,1401
"Ye Old Bakery - The Claridges","New Delhi",1000,1402
"Bao Cha","New Delhi",1000,1403
"Moti Mahal Delux Tandoori Trail","New Delhi",1000,1404
"Pizza Hut","New Delhi",1000,1405
"Captain Chang","New Delhi",1000,1406
"Captain Grub","New Delhi",1000,1407
"The Cafe","New Delhi",1000,1408
"Kayasth Cuisine","New Delhi",1000,1409
"Biryani Blues","New Delhi",1000,1410
Karim's,"New Delhi",1000,1411
"Rhythm Restro-Bar","New Delhi",1000,1412
"Pizza Hut",Noida,1000,1413
"Pizza Hut",Noida,1000,1414
"Yu Turn",Noida,1000,1415
"Upper Deck",Noida,1000,1416
Gravity,Noida,1000,1417
"Baker's Studio - Jaypee Greens",Noida,1000,1418
"Pizza Hut",Noida,1000,1419
"Biryani Blues",Noida,1000,1420
"Pind Balluchi",Noida,1000,1421
"Aureo Dine & Bake House",Noida,1000,1422
"NSD Resto Bar & Kitchen",Noida,1000,1423
"Zest Bar and Lounge",Noida,1000,1424
"Dhaba at Atta",Noida,1000,1425
"Our Story Bistro & Tea Room",Noida,1000,1426
"Pizza Hut",Noida,1000,1427
"Pizza Hut",Noida,1000,1428
"Moti Mahal Delux Tandoori Trail",Noida,1000,1429
"Pizza Hut",Noida,1000,1430
"Pizza Hut",Noida,1000,1431
"Thaal Vaadi",Noida,1000,1432
"The Hangout-Deli",Noida,1000,1433
"The Yellow Chilli",Patna,1000,1434
"Pind Balluchi",Patna,1000,1435
"Kapil Dev's Eleven",Patna,1000,1436
"Tanto Pizzeria",Puducherry,1000,1437
"Le Plaisir",Pune,1000,1438
"The Little Next Door",Pune,1000,1439
"German Bakery Wunderbar",Pune,1000,1440
Apache,Pune,1000,1441
"Barbeque Ville",Pune,1000,1442
"Hot Lips",Ranchi,1000,1443
Prana,Ranchi,1000,1444
"Yellow Sapphire",Ranchi,1000,1445
"Moti Mahal Delux Tandoori Trail",Ranchi,1000,1446
"The Urban Brava",Ranchi,1000,1447
"Black Pepper",Surat,1000,1448
"Little Italy",Vadodara,1000,1449
"Gazebo Garden Restaurant",Vadodara,1000,1450
Tomato's,Vadodara,1000,1451
"I:ba Cafe & Restaurant",Varanasi,1000,1452
"Double Roti",Vizag,1000,1453
"Butter Boutique",Colombo,1000,1454
"Carnival Ice Cream",Colombo,1000,1455
"Burger's King",Colombo,1000,1456
Marble,Johannesburg,955,1457
"The Midnight Heroes","New Delhi",950,1458
"The Midnight Heroes","New Delhi",950,1459
"The Midnight Heroes","New Delhi",950,1460
"The Midnight Heroes","New Delhi",950,1461
"Cafe Tansen","New Delhi",950,1462
"Mickey's Kitchen","New Delhi",950,1463
"Hakka Haus",Noida,950,1464
"Doosri Mehfil",Noida,950,1465
"Nini's Kitchen",Ahmedabad,950,1466
"ECHOES Koramangala",Bangalore,950,1467
Nirula's,Faridabad,950,1468
"Tandoori Nation",Gurgaon,950,1469
"Purani Dilli's Al Karam Kebab House",Gurgaon,950,1470
"Rajdhani Thali Restaurant","New Delhi",950,1471
"The Buffet Wagon","New Delhi",950,1472
"Karate Kitchen","New Delhi",950,1473
"Panda Wokk","New Delhi",950,1474
"Kocktails & Kurries","New Delhi",950,1475
"Moti Mahal Delux","New Delhi",950,1476
"The Midnight Heroes","New Delhi",950,1477
"Le Seasons Restaurant","New Delhi",950,1478
"Mad Mark's Creamery & Good Eats","Pasig City",900,1479
"Pind Balluchi",Agra,900,1480
"650 - The Global Kitchen",Ahmedabad,900,1481
"Fozzie's Pizzaiolo",Ahmedabad,900,1482
"Brick Kitchen",Ahmedabad,900,1483
"The Urban Socialite",Bhopal,900,1484
"Aangan Horizon",Bhubaneshwar,900,1485
"Food Fever",Bhubaneshwar,900,1486
Paradise,Chennai,900,1487
Pind,Chennai,900,1488
"The Chocolate Room",Faridabad,900,1489
"Cafe Grub Up",Faridabad,900,1490
PizzaVito,Gurgaon,900,1491
Instapizza,Gurgaon,900,1492
Instapizza,Gurgaon,900,1493
Baba's,Gurgaon,900,1494
Sage,Gurgaon,900,1495
"Queens Caf刺",Gurgaon,900,1496
"Colonel's Kababz",Gurgaon,900,1497
"The League Restaurant",Gurgaon,900,1498
"The Plaza Solitaire",Gurgaon,900,1499
"Hamoni Red: Play Cafe",Gurgaon,900,1500
Machan,Gurgaon,900,1501
"Al Fanoos",Gurgaon,900,1502
Paragon,Kochi,900,1503
BarBQ,Kolkata,900,1504
"Diesel Cafe",Mangalore,900,1505
"Jalpaan Dining Saga",Mysore,900,1506
"House Of Flavours",Nashik,900,1507
"Clever Fox Cafe","New Delhi",900,1508
"Chilli Pepper","New Delhi",900,1509
"Chinese Garden","New Delhi",900,1510
Laguna,"New Delhi",900,1511
"Nizam's Kathi Kabab","New Delhi",900,1512
"Colonel's Kababz","New Delhi",900,1513
"D?ner Grill","New Delhi",900,1514
"Nizam's Kathi Kabab","New Delhi",900,1515
NYC.PIE,"New Delhi",900,1516
Kathputli,"New Delhi",900,1517
"The Culinary Pitaara","New Delhi",900,1518
"Korea Restaurant","New Delhi",900,1519
"Spezia Bistro","New Delhi",900,1520
Ricos,"New Delhi",900,1521
"Panchratna Thali","New Delhi",900,1522
"D?ner Grill","New Delhi",900,1523
"Nutritious Nation","New Delhi",900,1524
"The Heroes Bistro & Bar","New Delhi",900,1525
"Spezia Deliveries","New Delhi",900,1526
"Beliram Degchiwala","New Delhi",900,1527
Instapizza,"New Delhi",900,1528
"Moets Curry Leaf Express","New Delhi",900,1529
"Habibi Express","New Delhi",900,1530
Instapizza,"New Delhi",900,1531
"Spicy by Nature","New Delhi",900,1532
"Chargrill Resto Bar","New Delhi",900,1533
"Mauryan Multi Cuisine Restaurant","New Delhi",900,1534
Saptagiri,"New Delhi",900,1535
"Taste of Vishal","New Delhi",900,1536
"Beliram Degchiwala","New Delhi",900,1537
"Nizam's Kathi Kabab","New Delhi",900,1538
"Great Plates By AJ","New Delhi",900,1539
"Clever Fox Cafe","New Delhi",900,1540
"True Blue","New Delhi",900,1541
"Pipes & Hipes","New Delhi",900,1542
"Kents Fast Food","New Delhi",900,1543
"Club India Cafe & Restaurant","New Delhi",900,1544
"King Bar & Restaurant","New Delhi",900,1545
"True Blue","New Delhi",900,1546
Berco's,"New Delhi",900,1547
"Big Wong","New Delhi",900,1548
"D?ner Grill","New Delhi",900,1549
"Nutritious Nation","New Delhi",900,1550
"Colonel's Kababz","New Delhi",900,1551
"Mama's Nu Khana Khazana","New Delhi",900,1552
"The Culinary Pitaara","New Delhi",900,1553
"Red Chilli","New Delhi",900,1554
"Tossin Pizza","New Delhi",900,1555
"Habibi Express","New Delhi",900,1556
"Hearken Caf刺","New Delhi",900,1557
"The Owl's Kitchen","New Delhi",900,1558
Mama's,"New Delhi",900,1559
"La Baguette - The Imperial","New Delhi",900,1560
"Nazeer Delicacies","New Delhi",900,1561
"24/7 Pastry Shop - The Lalit New Delhi","New Delhi",900,1562
"French Crust - The Suryaa New Delhi","New Delhi",900,1563
"Yo! China","New Delhi",900,1564
"Clemency- The Restaurant & Cafe","New Delhi",900,1565
"Flaming Chilli Pepper","New Delhi",900,1566
Majlis-e-Mughal,"New Delhi",900,1567
"Indian Saffron Co.","New Delhi",900,1568
"Foodland by Orchid","New Delhi",900,1569
"Instapizza After Hours","New Delhi",900,1570
"Cafeteria & Co.","New Delhi",900,1571
"736 A.D.","New Delhi",900,1572
Instapizza,Noida,900,1573
"The Noodle Co",Noida,900,1574
"Tea Lounge - Jaypee Greens",Noida,900,1575
"Cafe Limelight",Noida,900,1576
"Moti Mahal Delux- Legendary Culinary",Noida,900,1577
"Nizam's Kathi Kabab",Noida,900,1578
"Burbee's Cafe",Noida,900,1579
"Pind Balluchi",Noida,900,1580
Navab's,Noida,900,1581
Swad,Noida,900,1582
"The Pasta Bar Veneto",Puducherry,900,1583
Kargo,Pune,900,1584
"Level 5 - Terrace Restro & Cafe",Surat,900,1585
"The Centre Court",Surat,900,1586
"The Food Lab",Surat,900,1587
"The Chocolate Room","New Delhi",850,1588
"Bun Intended","New Delhi",850,1589
"Max Grille and Kitchen","New Delhi",850,1590
"Speedy Chow","New Delhi",850,1591
Mitraz,"New Delhi",850,1592
"Gold Resto Bar","New Delhi",850,1593
"The Drunkyard Cafe","New Delhi",850,1594
"The Riding Guns Cafe","New Delhi",850,1595
Alkakori,"New Delhi",850,1596
Madhuban,"New Delhi",850,1597
Alkauser,"New Delhi",850,1598
"Pho King Awesome","New Delhi",850,1599
"Wood Box Cafe","New Delhi",850,1600
"Twisted Tacos","New Delhi",850,1601
Code,"New Delhi",850,1602
"Bun Intended","New Delhi",850,1603
"Tipu Sultan","New Delhi",850,1604
"De' Bistro","New Delhi",850,1605
Noshh,Noida,850,1606
"Speedy Chow",Noida,850,1607
Handi,Noida,850,1608
"Tea Trails",Noida,850,1609
"Saut刺ed Stories",Pune,850,1610
"Saffron Mantra",Secunderabad,850,1611
"Nonna's Pasta & Pizzeria","Santa Rosa",850,1612
Jahanpanah,Agra,850,1613
"Balbeer's Kitchen & Bar",Aurangabad,850,1614
"Michael's Kitchen",Bhubaneshwar,850,1615
"The Night Factory",Chandigarh,850,1616
Palmshore,Chennai,850,1617
Palmshore,Chennai,850,1618
Palmshore,Chennai,850,1619
"Bun Intended",Gurgaon,850,1620
"Jalsa Lounge",Gurgaon,850,1621
"Wangchuk's Ladakhi Kitchen",Gurgaon,850,1622
"Game n Grillz",Gurgaon,850,1623
"Fees - The Cloud Kitchen",Gurgaon,850,1624
"Speedy Chow",Gurgaon,850,1625
"Cafe Bonkerz",Gurgaon,850,1626
"The Corner Cafe",Guwahati,850,1627
"JAL - A Jungle Restaurant",Indore,850,1628
"Nafees Restaurant",Indore,850,1629
"Anaicha's Food Joint",Kanpur,850,1630
"The American Joint",Mumbai,850,1631
"Al Kuresh","New Delhi",850,1632
"Hookups Cafe & Lounge","New Delhi",850,1633
"The Hudson Cafe","New Delhi",850,1634
"Al Zaitoon","New Delhi",850,1635
"The Munchbox","New Delhi",850,1636
"Bun Intended","New Delhi",850,1637
"Pho King Awesome","New Delhi",850,1638
"South Gate","New Delhi",850,1639
"Tikka- Way","New Delhi",850,1640
"Pind Balluchi","New Delhi",850,1641
"Hot Chimney","New Delhi",850,1642
"Silantro Fil-Mex","Pasig City",800,1643
"Silantro Fil-Mex","Quezon City",800,1644
"Cafe Arabelle","Santa Rosa",800,1645
"G Thal",Agra,800,1646
@Mango,Ahmedabad,800,1647
"Pind Balluchi",Allahabad,800,1648
"Moti Mahal Delux",Allahabad,800,1649
"Crystal Restaurant",Amritsar,800,1650
"Kream N Krunch",Aurangabad,800,1651
"Glen's Bakehouse",Bangalore,800,1652
Truffles,Bangalore,800,1653
"Chai Break",Bhubaneshwar,800,1654
Karim's,Chandigarh,800,1655
"That Madras Place",Chennai,800,1656
Haunted,Chennai,800,1657
"Kuchi n Kream",Coimbatore,800,1658
"The Punjabi Essence Restaurant",Dehradun,800,1659
"Shree Rathnam",Faridabad,800,1660
Chimney,Faridabad,800,1661
"Open Yard",Faridabad,800,1662
"Shree Rathnam",Faridabad,800,1663
"Bake Your Dreamz",Faridabad,800,1664
"Baba Au Rhum",Goa,800,1665
"La Plage",Goa,800,1666
Infantaria,Goa,800,1667
Calamari,Goa,800,1668
"Cafe Al Fresco by Cantina Bodega",Goa,800,1669
"Pind Balluchi",Gurgaon,800,1670
"Tanishk Gourmet Indian",Gurgaon,800,1671
"Khyen Chyen",Gurgaon,800,1672
"Delifrance - The France Cafe Bakery",Gurgaon,800,1673
"Lazeez Food",Gurgaon,800,1674
"Sugar & Spice - Le Marche",Gurgaon,800,1675
"Fork with Stick",Gurgaon,800,1676
"Pizza Hut Delivery",Gurgaon,800,1677
"Wai Yu Mun Ching",Gurgaon,800,1678
"Burmese Kitchen Plus",Gurgaon,800,1679
"Eat All Nite",Gurgaon,800,1680
"Deez Biryani & Kebabs",Gurgaon,800,1681
"Big Jack's",Gurgaon,800,1682
"Lucknow Mail",Gurgaon,800,1683
"Sugar & Spice - Le Marche",Gurgaon,800,1684
ChandChini,Gurgaon,800,1685
"Shree Rathnam",Gurgaon,800,1686
"Pind Balluchi",Gurgaon,800,1687
Jaguar,Gurgaon,800,1688
"Lord of Grillz",Gurgaon,800,1689
"Midnight Cravings Beyond Control",Gurgaon,800,1690
"Crust Bistro",Gurgaon,800,1691
"Chini Bowl",Gurgaon,800,1692
"Al Kabab",Gurgaon,800,1693
"Pind Balluchi",Gurgaon,800,1694
"The Oven Artist",Gurgaon,800,1695
"Pizza Hut Delivery",Gurgaon,800,1696
"Shree Rathnam",Gurgaon,800,1697
Hangover,Gurgaon,800,1698
"Baxman Delivers",Gurgaon,800,1699
"Moti Mahal Delux Tandoori Trail",Gurgaon,800,1700
Tpot,Gurgaon,800,1701
"Pizza Hut Delivery",Gurgaon,800,1702
"Pind Balluchi",Gurgaon,800,1703
"Bikkgane Biryani",Gurgaon,800,1704
"Dancing Turkeys",Gurgaon,800,1705
"Too Maach",Gurgaon,800,1706
Chawla's?,Gurgaon,800,1707
"DCK- Dana Choga's Kitchen",Gurgaon,800,1708
"Sugarcraft Patisserie",Gurgaon,800,1709
Boozer's,Gurgaon,800,1710
"Patiala Shahi",Gurgaon,800,1711
"Wai Yu Mun Ching",Gurgaon,800,1712
"Mutton Mewar",Gurgaon,800,1713
"Green Leaf",Gurgaon,800,1714
"Riders Hub",Gurgaon,800,1715
Tpot,Gurgaon,800,1716
Pizzoccheri,Gurgaon,800,1717
Mocha,Guwahati,800,1718
"Yo! China",Guwahati,800,1719
"Cafe Palette",Indore,800,1720
Mocha,Indore,800,1721
"Cafe LazyMojo",Jaipur,800,1722
"Calzone- Dine & Rooftop Lounge",Jaipur,800,1723
"The Zaffran",Kanpur,800,1724
Chiyang,Kochi,800,1725
ChaiCofi,Kochi,800,1726
"Santa's Fantasea",Kolkata,800,1727
"India Restaurant",Kolkata,800,1728
Mocha,Lucknow,800,1729
"Basant Restaurant",Ludhiana,800,1730
Mocha,Ludhiana,800,1731
"Hot Breads",Ludhiana,800,1732
"Nik Bakers",Ludhiana,800,1733
"Aman Chicken",Ludhiana,800,1734
"Liquid Lounge",Mangalore,800,1735
Machali,Mangalore,800,1736
"Joey's Pizza",Mumbai,800,1737
"Joey's Pizza",Mumbai,800,1738
"The Old House",Mysore,800,1739
"Eastern Spice",Nashik,800,1740
"White X Sky Lounge",Nashik,800,1741
"Little Italy",Nashik,800,1742
Chawla's?,"New Delhi",800,1743
Tpot,"New Delhi",800,1744
"Mr Wong","New Delhi",800,1745
"City of Joy","New Delhi",800,1746
"Shree Rathnam","New Delhi",800,1747
"Amici Gourmet Pizza","New Delhi",800,1748
"Big Fat Sandwich","New Delhi",800,1749
"Pizza Hut Delivery","New Delhi",800,1750
"Bijoli Grill","New Delhi",800,1751
"Sugar & Spice - Le Marche","New Delhi",800,1752
"Chanakya Bar-Be-Que","New Delhi",800,1753
Chimney,"New Delhi",800,1754
"China Town Sizzlers","New Delhi",800,1755
"Chimney Sizzlers","New Delhi",800,1756
"Balluchi's - The Royal Cuisine","New Delhi",800,1757
"Caf刺 MRP","New Delhi",800,1758
"Bikkgane Biryani","New Delhi",800,1759
"Healthy Routes","New Delhi",800,1760
"Eleven to Eleven","New Delhi",800,1761
"Le Chef","New Delhi",800,1762
"Deez Biryani & Kebabs","New Delhi",800,1763
Raro,"New Delhi",800,1764
Hwealthcafe,"New Delhi",800,1765
"Blue Bull Cafe","New Delhi",800,1766
"QD's Restaurant","New Delhi",800,1767
"Bijoli Grill","New Delhi",800,1768
Nagaland,"New Delhi",800,1769
"Shahi Zaikaa","New Delhi",800,1770
"Pizza Hut Delivery","New Delhi",800,1771
Bemisaal,"New Delhi",800,1772
"Test Restaruants for Medio","New Delhi",800,1773
"Tsui Wong","New Delhi",800,1774
"Moti Mahal Delux","New Delhi",800,1775
Chawla's,"New Delhi",800,1776
"The Square Meal","New Delhi",800,1777
"Red Wok","New Delhi",800,1778
Samavar,"New Delhi",800,1779
Shikhara,"New Delhi",800,1780
"The Grill Kitchen - Gourmet","New Delhi",800,1781
"Country Curries","New Delhi",800,1782
"New York Slice - Express","New Delhi",800,1783
Cakeatouille,"New Delhi",800,1784
"Chilli Singh","New Delhi",800,1785
"Coalition Cafe","New Delhi",800,1786
"The Vintage Avenue","New Delhi",800,1787
Encounter,"New Delhi",800,1788
"Al Forno by Aishwarya","New Delhi",800,1789
"Big Fat Sandwich","New Delhi",800,1790
"Indrani's Kitchen","New Delhi",800,1791
"Kallu Hot Zaika","New Delhi",800,1792
Miam,"New Delhi",800,1793
Thalaivar,"New Delhi",800,1794
"New York Slice","New Delhi",800,1795
"Viceroy Bar - Hotel Classic Diplomat","New Delhi",800,1796
"The Grand Kitchen","New Delhi",800,1797
"Shree Rathnam","New Delhi",800,1798
"Moti Mahal Delux","New Delhi",800,1799
Karim's,"New Delhi",800,1800
Brunchilli,"New Delhi",800,1801
"The Night Delights","New Delhi",800,1802
"Midnight Hunger Hub","New Delhi",800,1803
Chawla's?,"New Delhi",800,1804
"Svasti Cafe","New Delhi",800,1805
"The Masala Trail","New Delhi",800,1806
Ego,"New Delhi",800,1807
"Pizza Hut Delivery","New Delhi",800,1808
"Prince of China","New Delhi",800,1809
"Big Dragon","New Delhi",800,1810
"Circle Cafe and Bar","New Delhi",800,1811
"Daawat E Mezbaan","New Delhi",800,1812
"Midnight Hunger Hub","New Delhi",800,1813
"Nine 75 Lounge & Bar","New Delhi",800,1814
"Trending Eats","New Delhi",800,1815
"Shree Rathnam","New Delhi",800,1816
"Aroma Rest O Bar","New Delhi",800,1817
"Chawla's Tandoori Junction","New Delhi",800,1818
"Desi Villa","New Delhi",800,1819
"Aroma Spice","New Delhi",800,1820
Raffles,"New Delhi",800,1821
