"restaurant name",city,"average cost for two",cost_rnk
"The Food Store - DoubleTree by Hilton",Gurgaon,3000,107
"New Town Lounge & Bar - Park Plaza",Gurgaon,3000,108
"The Great Kabab Factory - Park Plaza",Gurgaon,3000,109
"Cigar Lounge - The Oberoi",Gurgaon,3000,110
"EEST - The Westin Gurgaon",Gurgaon,3000,111
"Prego - The Westin Gurgaon",Gurgaon,3000,112
"Seasonal Tastes - The Westin Gurgaon",Gurgaon,3000,113
"Xiao Chi - The Westin Sohna Resort & Spa",Gurgaon,3000,114
"The Living Room - The Westin Sohna Resort & Spa",Gurgaon,3000,115
"Konomi - Trident Gurgaon",Gurgaon,3000,116
"Waterside - The Landmark Hotel",Kanpur,3000,117
"Playboy Club","New Delhi",3000,118
"Lakhori - Haveli Dharampura","New Delhi",3000,119
"Infinity - Crowne Plaza","New Delhi",3000,120
"Artusi Ristorante e Bar","New Delhi",3000,121
"Lutyen's - Hotel The Royal Plaza","New Delhi",3000,122
RSVP,"New Delhi",3000,123
"Eggspectation - Jaypee Siddharth","New Delhi",3000,124
"Tapas - Jaypee Vasant Continental","New Delhi",3000,125
"Eggspectation - Jaypee Vasant Continental","New Delhi",3000,126
"Nero - Le Meridien","New Delhi",3000,127
"The Garden Terrace - Maidens Hotel","New Delhi",3000,128
"Aqua Grill - Pride Plaza Hotel","New Delhi",3000,129
"Neung Roi - Radisson Blu Plaza Delhi","New Delhi",3000,130
"NYC - Radisson Blu Plaza Delhi","New Delhi",3000,131
"The Great Kabab Factory - Radisson Blu Plaza Delhi","New Delhi",3000,132
"DEL - Roseate House","New Delhi",3000,133
"India Grill - Hilton Garden Inn","New Delhi",3000,134
"Delhi Pavilion - Sheraton New Delhi Hotel","New Delhi",3000,135
"Pan Asian - Sheraton New Delhi Hotel","New Delhi",3000,136
"Insomnia - Taj Vivanta","New Delhi",3000,137
"Patiala Peg - The Imperial","New Delhi",3000,138
"24/7 Bar- The Lalit New Delhi","New Delhi",3000,139
"Elan - The Lodhi","New Delhi",3000,140
"Agni - The Park","New Delhi",3000,141
"Atrium Bar  & Lounge - The Suryaa New Delhi","New Delhi",3000,142
"Bonitos - The Uppal","New Delhi",3000,143
"Cricket Club Cafe",Colombo,3000,144
"The Sizzle",Colombo,3000,145
Guppy,"New Delhi",2900,146
"SSKY Bar & Lounge","New Delhi",2800,147
"New Town Cafe - Park Plaza",Noida,2800,148
"Caf刺 Knosh - The Leela Ambience Convention Hotel","New Delhi",2700,149
"Downtown Kitchen & Bar - Courtyard by Marriott",Gurgaon,2700,150
BED,"New Delhi",2700,151
"GBar - The Grand New Delhi","New Delhi",2650,152
"Cherry Bar - The Leela Ambience Convention Hotel","New Delhi",2650,153
Geoffrey's,Noida,2600,154
"Lodi - The Garden Restaurant","New Delhi",2600,155
"Peshawri - ITC Mughal",Agra,2500,156
"Taj Bano - ITC Mughal",Agra,2500,157
